t_begin,power_schedule[W]
2016-09-01 00:00:00,0.0
2016-09-01 00:01:00,0.0
2016-09-01 00:02:00,0.0
2016-09-01 00:03:00,0.0
2016-09-01 00:04:00,0.0
2016-09-01 00:05:00,0.0
2016-09-01 00:06:00,0.0
2016-09-01 00:07:00,0.0
2016-09-01 00:08:00,0.0
2016-09-01 00:09:00,0.0
2016-09-01 00:10:00,0.0
2016-09-01 00:11:00,0.0
2016-09-01 00:12:00,-174.40887417453843
2016-09-01 00:13:00,-95.7351831205742
2016-09-01 00:14:00,-153.367730123423
2016-09-01 00:15:00,-326.9318425804234
2016-09-01 00:16:00,-186.49278974950616
2016-09-01 00:17:00,-306.3902230111097
2016-09-01 00:18:00,-231.32423230901506
2016-09-01 00:19:00,-255.31956562688012
2016-09-01 00:20:00,-248.86794809720448
2016-09-01 00:21:00,-180.1409161505732
2016-09-01 00:22:00,-168.0449548709907
2016-09-01 00:23:00,0.0
2016-09-01 00:24:00,0.0
2016-09-01 00:25:00,0.0
2016-09-01 00:26:00,0.0
2016-09-01 00:27:00,0.0
2016-09-01 00:28:00,-172.8698829988068
2016-09-01 00:29:00,-151.4023662679065
2016-09-01 00:30:00,-169.02932456476057
2016-09-01 00:31:00,-332.6494661816522
2016-09-01 00:32:00,-514.8644690626777
2016-09-01 00:33:00,-465.6564736367496
2016-09-01 00:34:00,-456.29999823660347
2016-09-01 00:35:00,-536.4419559471984
2016-09-01 00:36:00,-560.8385813168786
2016-09-01 00:37:00,-361.56020595464935
2016-09-01 00:38:00,-186.78940477096123
2016-09-01 00:39:00,-309.13484918742296
2016-09-01 00:40:00,-317.6243420964864
2016-09-01 00:41:00,-55.88105971922883
2016-09-01 00:42:00,-287.0238851992546
2016-09-01 00:43:00,-343.12994855560675
2016-09-01 00:44:00,-363.13012906868795
2016-09-01 00:45:00,-233.97590645787201
2016-09-01 00:46:00,-449.70914008675004
2016-09-01 00:47:00,-505.5508753825074
2016-09-01 00:48:00,-438.7682773029228
2016-09-01 00:49:00,-386.80356445369364
2016-09-01 00:50:00,-105.15986588470837
2016-09-01 00:51:00,0.0
2016-09-01 00:52:00,0.0
2016-09-01 00:53:00,0.0
2016-09-01 00:54:00,-53.61170547331093
2016-09-01 00:55:00,0.0
2016-09-01 00:56:00,0.0
2016-09-01 00:57:00,0.0
2016-09-01 00:58:00,-112.54054600204708
2016-09-01 00:59:00,-23.62520928049104
2016-09-01 01:00:00,-178.49533555283764
2016-09-01 01:01:00,-316.9964050881539
2016-09-01 01:02:00,-451.7342367156906
2016-09-01 01:03:00,-578.3210005332006
2016-09-01 01:04:00,-541.3039172312467
2016-09-01 01:05:00,-484.4086683525491
2016-09-01 01:06:00,0.0
2016-09-01 01:07:00,-52.25728247766093
2016-09-01 01:08:00,-248.40556646567543
2016-09-01 01:09:00,-375.896852098341
2016-09-01 01:10:00,-434.47628469249014
2016-09-01 01:11:00,-404.1966609953712
2016-09-01 01:12:00,-336.3538758803092
2016-09-01 01:13:00,-283.9783619350418
2016-09-01 01:14:00,-473.58190499806494
2016-09-01 01:15:00,-522.6067801690529
2016-09-01 01:16:00,-407.1896128408934
2016-09-01 01:17:00,-329.1596000081405
2016-09-01 01:18:00,-188.9027903132205
2016-09-01 01:19:00,-291.60187129669225
2016-09-01 01:20:00,-427.2016324621951
2016-09-01 01:21:00,-401.08912290786833
2016-09-01 01:22:00,-405.20928435063996
2016-09-01 01:23:00,-394.5807774507722
2016-09-01 01:24:00,-478.5176962863652
2016-09-01 01:25:00,-250.19643470299042
2016-09-01 01:26:00,0.0
2016-09-01 01:27:00,-96.92036986145416
2016-09-01 01:28:00,-195.01334205791332
2016-09-01 01:29:00,-176.2061627436509
2016-09-01 01:30:00,-16.980140494170403
2016-09-01 01:31:00,-136.44724889413874
2016-09-01 01:32:00,-108.24908387177156
2016-09-01 01:33:00,-114.44235436664742
2016-09-01 01:34:00,-145.90345586775962
2016-09-01 01:35:00,-254.9899984720112
2016-09-01 01:36:00,0.0
2016-09-01 01:37:00,0.0
2016-09-01 01:38:00,-42.208539475898036
2016-09-01 01:39:00,0.0
2016-09-01 01:40:00,-35.86696189286469
2016-09-01 01:41:00,0.0
2016-09-01 01:42:00,0.0
2016-09-01 01:43:00,-26.93556210422037
2016-09-01 01:44:00,0.0
2016-09-01 01:45:00,-20.09079081096269
2016-09-01 01:46:00,-35.326718090775145
2016-09-01 01:47:00,-12.229509464848336
2016-09-01 01:48:00,-149.04849556651203
2016-09-01 01:49:00,-203.5506479945884
2016-09-01 01:50:00,-479.1553818194085
2016-09-01 01:51:00,-244.02071557079014
2016-09-01 01:52:00,-344.076597168268
2016-09-01 01:53:00,-311.95395321973905
2016-09-01 01:54:00,-403.3289548496337
2016-09-01 01:55:00,-440.62487323399216
2016-09-01 01:56:00,-655.6750868662114
2016-09-01 01:57:00,-790.6642527766728
2016-09-01 01:58:00,-769.7353747577423
2016-09-01 01:59:00,-763.4092812446584
2016-09-01 02:00:00,-866.0805997560929
2016-09-01 02:01:00,-825.2419622215867
2016-09-01 02:02:00,-703.9051843948405
2016-09-01 02:03:00,-729.0492287841423
2016-09-01 02:04:00,-750.9110567029072
2016-09-01 02:05:00,-790.9076715259542
2016-09-01 02:06:00,-703.4413781580635
2016-09-01 02:07:00,-823.2455868201828
2016-09-01 02:08:00,-1023.8198104485024
2016-09-01 02:09:00,-813.2104590659038
2016-09-01 02:10:00,-871.7811888870599
2016-09-01 02:11:00,-937.1074565225116
2016-09-01 02:12:00,-859.8361606724358
2016-09-01 02:13:00,-673.5586942636693
2016-09-01 02:14:00,-600.8513181535437
2016-09-01 02:15:00,-739.6134942854646
2016-09-01 02:16:00,-756.5862619946463
2016-09-01 02:17:00,-895.1035471997533
2016-09-01 02:18:00,-788.8896812447663
2016-09-01 02:19:00,-907.118806525093
2016-09-01 02:20:00,-924.9606310550943
2016-09-01 02:21:00,-962.8047151235336
2016-09-01 02:22:00,-609.4786396741449
2016-09-01 02:23:00,-338.03566496440874
2016-09-01 02:24:00,-472.82209615718085
2016-09-01 02:25:00,-204.2467813579051
2016-09-01 02:26:00,-361.1917554660679
2016-09-01 02:27:00,-457.0997057654838
2016-09-01 02:28:00,-289.81837186702563
2016-09-01 02:29:00,-217.5057704671632
2016-09-01 02:30:00,-349.81611203523494
2016-09-01 02:31:00,-91.95554142049349
2016-09-01 02:32:00,-289.96235995885814
2016-09-01 02:33:00,-277.2088516664969
2016-09-01 02:34:00,-275.1176399588445
2016-09-01 02:35:00,-557.2414839171065
2016-09-01 02:36:00,-829.6078607225431
2016-09-01 02:37:00,-598.9474870973897
2016-09-01 02:38:00,-465.10855276567963
2016-09-01 02:39:00,-318.1276218793441
2016-09-01 02:40:00,-484.4837978386901
2016-09-01 02:41:00,-302.170963678414
2016-09-01 02:42:00,-483.5159094684408
2016-09-01 02:43:00,-372.7866656735148
2016-09-01 02:44:00,-436.1922685862944
2016-09-01 02:45:00,-631.2005190501199
2016-09-01 02:46:00,-676.4496750601587
2016-09-01 02:47:00,-509.1752261916256
2016-09-01 02:48:00,-394.6538079013591
2016-09-01 02:49:00,-485.42183322993424
2016-09-01 02:50:00,-303.45154360888705
2016-09-01 02:51:00,-419.35620609017167
2016-09-01 02:52:00,-348.2053377827232
2016-09-01 02:53:00,-112.78391966029312
2016-09-01 02:54:00,-264.49865734958985
2016-09-01 02:55:00,-231.59224226849204
2016-09-01 02:56:00,-318.3266114222432
2016-09-01 02:57:00,-237.0428009145656
2016-09-01 02:58:00,-270.3508360332404
2016-09-01 02:59:00,-507.99073569879164
2016-09-01 03:00:00,-727.4929769596226
2016-09-01 03:01:00,-840.1862242069425
2016-09-01 03:02:00,-481.47679592989823
2016-09-01 03:03:00,-510.2913056848405
2016-09-01 03:04:00,-603.8825845185728
2016-09-01 03:05:00,-551.1975139841094
2016-09-01 03:06:00,-833.3188354502282
