time series,min,max,mean,median,std,var,sum
BL HAL,0.000000,0.174018,0.005506,0.001147,0.013310,0.000177,237.854117
BL OEMOF,0.000000,0.173485,0.003135,0.000000,0.010479,0.000110,135.439954
