t_begin,consumed_power[W],local_res_power,local_price,local_target
2016-12-01 00:00:00,32.748156482497095,381.30669230936223,100,145.72929634711207
2016-12-01 00:01:00,32.748156482497095,382.74107290645236,100,145.72929634711207
2016-12-01 00:02:00,32.748156482497095,384.92221865975955,100,145.72929634711207
2016-12-01 00:03:00,32.748156482497095,385.5137158131987,100,145.72929634711207
2016-12-01 00:04:00,32.748156482497095,386.2678746838335,100,145.72929634711207
2016-12-01 00:05:00,32.748156482497095,387.7466175674317,100,145.72929634711207
2016-12-01 00:06:00,32.748156482497095,388.5081701524846,100,145.72929634711207
2016-12-01 00:07:00,32.748156482497095,388.4268392938867,100,145.72929634711207
2016-12-01 00:08:00,32.748156482497095,388.212421575765,100,145.72929634711207
2016-12-01 00:09:00,32.748156482497095,388.36029586412474,100,145.72929634711207
2016-12-01 00:10:00,32.748156482497095,390.3861736146541,100,145.72929634711207
2016-12-01 00:11:00,32.748156482497095,391.49523077735273,100,145.72929634711207
2016-12-01 00:12:00,32.748156482497095,392.9739736609505,100,145.72929634711207
2016-12-01 00:13:00,32.748156482497095,392.64125651214124,100,145.72929634711207
2016-12-01 00:14:00,32.748156482497095,392.8852490879349,100,145.72929634711207
2016-12-01 00:15:00,32.748156482497095,392.6930125130672,100,145.72929634711207
2016-12-01 00:16:00,32.748156482497095,392.3011456489136,100,145.72929634711207
2016-12-01 00:17:00,32.748156482497095,392.38987022192975,100,145.72929634711207
2016-12-01 00:18:00,32.748156482497095,391.8723102126702,100,145.72929634711207
2016-12-01 00:19:00,32.748156482497095,391.93885364243215,100,145.72929634711207
2016-12-01 00:20:00,32.748156482497095,392.7077999419032,100,145.72929634711207
2016-12-01 00:21:00,32.748156482497095,392.77434337166494,100,145.72929634711207
2016-12-01 00:22:00,32.748156482497095,392.5303507958714,100,145.72929634711207
2016-12-01 00:23:00,32.748156482497095,390.40096104349027,100,145.72929634711207
2016-12-01 00:24:00,32.748156482497095,389.6172273151831,100,145.72929634711207
2016-12-01 00:25:00,32.748156482497095,390.0238816081726,100,145.72929634711207
2016-12-01 00:26:00,32.748156482497095,391.1551199141252,100,145.72929634711207
2016-12-01 00:27:00,32.748156482497095,391.4286873475909,100,145.72929634711207
2016-12-01 00:28:00,32.748156482497095,392.0719405019561,100,145.72929634711207
2016-12-01 00:29:00,32.748156482497095,392.8260993725909,100,145.72929634711207
2016-12-01 00:30:00,32.748156482497095,393.1588165214006,100,145.72929634711207
2016-12-01 00:31:00,32.748156482497095,393.9277628208715,100,145.72929634711207
2016-12-01 00:32:00,32.748156482497095,394.01648739388736,100,145.72929634711207
2016-12-01 00:33:00,32.748156482497095,393.38062795394023,100,145.72929634711207
2016-12-01 00:34:00,32.748156482497095,393.6024393864799,100,145.72929634711207
2016-12-01 00:35:00,32.748156482497095,392.6116816544693,100,145.72929634711207
2016-12-01 00:36:00,32.748156482497095,391.7318296387284,100,145.72929634711207
2016-12-01 00:37:00,32.748156482497095,391.8944913559243,100,145.72929634711207
2016-12-01 00:38:00,32.748156482497095,391.02942676901944,100,145.72929634711207
2016-12-01 00:39:00,32.748156482497095,392.32332679216756,100,145.72929634711207
2016-12-01 00:40:00,32.748156482497095,393.08487937722055,100,145.72929634711207
2016-12-01 00:41:00,32.748156482497095,393.88340053436366,100,145.72929634711207
2016-12-01 00:42:00,32.748156482497095,394.69670912034246,100,145.72929634711207
2016-12-01 00:43:00,32.748156482497095,394.7410714068503,100,145.72929634711207
2016-12-01 00:44:00,32.748156482497095,395.0811822700779,100,145.72929634711207
2016-12-01 00:45:00,32.748156482497095,395.0959696989139,100,145.72929634711207
2016-12-01 00:46:00,32.748156482497095,396.3011451490463,100,145.72929634711207
2016-12-01 00:47:00,32.748156482497095,395.6431045658451,100,145.72929634711207
2016-12-01 00:48:00,32.748156482497095,396.85567373039555,100,145.72929634711207
2016-12-01 00:49:00,32.748156482497095,396.75955544296176,100,145.72929634711207
2016-12-01 00:50:00,32.748156482497095,396.2493891481205,100,145.72929634711207
2016-12-01 00:51:00,32.748156482497095,396.3085388634645,100,145.72929634711207
2016-12-01 00:52:00,32.748156482497095,396.9074297313215,100,145.72929634711207
2016-12-01 00:53:00,32.748156482497095,396.6560434411099,100,145.72929634711207
2016-12-01 00:54:00,32.748156482497095,397.71334460288256,100,145.72929634711207
2016-12-01 00:55:00,32.748156482497095,398.3344166139939,100,145.72929634711207
2016-12-01 00:56:00,32.748156482497095,397.85382517682433,100,145.72929634711207
2016-12-01 00:57:00,32.748156482497095,397.1809971647872,100,145.72929634711207
2016-12-01 00:58:00,32.748156482497095,397.358446310819,100,145.72929634711207
2016-12-01 00:59:00,32.748156482497095,398.4748971879353,100,145.72929634711207
2016-12-01 01:00:00,32.748156482497095,399.9536400715335,100,145.72929634711207
2016-12-01 01:01:00,32.748156482497095,401.14402809283,100,145.72929634711207
2016-12-01 01:02:00,32.748156482497095,400.5155623673011,100,145.72929634711207
2016-12-01 01:03:00,32.748156482497095,400.43423150870296,100,145.72929634711207
2016-12-01 01:04:00,32.748156482497095,401.4989263848936,100,145.72929634711207
2016-12-01 01:05:00,32.748156482497095,402.001698965317,100,145.72929634711207
2016-12-01 01:06:00,32.748156482497095,401.93515553555505,100,145.72929634711207
2016-12-01 01:07:00,32.748156482497095,401.4841389560577,100,145.72929634711207
2016-12-01 01:08:00,32.748156482497095,401.7872812471951,100,145.72929634711207
2016-12-01 01:09:00,32.748156482497095,401.9795178220628,100,145.72929634711207
2016-12-01 01:10:00,32.748156482497095,402.0386675374068,100,145.72929634711207
