t_begin,power_schedule[W]
2016-09-01 00:00:00,0.0
2016-09-01 00:01:00,0.0
2016-09-01 00:02:00,0.0
2016-09-01 00:03:00,-52.515645792332194
2016-09-01 00:04:00,0.0
2016-09-01 00:05:00,0.0
2016-09-01 00:06:00,0.0
2016-09-01 00:07:00,0.0
2016-09-01 00:08:00,0.0
2016-09-01 00:09:00,0.0
2016-09-01 00:10:00,0.0
2016-09-01 00:11:00,0.0
2016-09-01 00:12:00,-232.33750406933453
2016-09-01 00:13:00,0.0
2016-09-01 00:14:00,0.0
2016-09-01 00:15:00,0.0
2016-09-01 00:16:00,0.0
2016-09-01 00:17:00,-228.0449079949616
2016-09-01 00:18:00,-285.9792369179871
2016-09-01 00:19:00,-609.0568788665151
2016-09-01 00:20:00,-919.99597911022
2016-09-01 00:21:00,-1287.8066863104625
2016-09-01 00:22:00,-1779.204203646133
2016-09-01 00:23:00,-1732.6670026417667
2016-09-01 00:24:00,-1921.929902705869
2016-09-01 00:25:00,-1607.908773032061
2016-09-01 00:26:00,-1065.2446074178738
2016-09-01 00:27:00,-631.1018864064567
2016-09-01 00:28:00,-366.75538315972284
2016-09-01 00:29:00,-767.3227393866008
2016-09-01 00:30:00,-934.1915984837796
2016-09-01 00:31:00,-689.015526487229
2016-09-01 00:32:00,-918.9987668117192
2016-09-01 00:33:00,-1403.443827768256
2016-09-01 00:34:00,-1238.5816233452388
2016-09-01 00:35:00,-1712.341843871891
2016-09-01 00:36:00,-1187.8977768341388
2016-09-01 00:37:00,-1330.5077043770252
2016-09-01 00:38:00,-1283.12387225897
2016-09-01 00:39:00,-1910.3962501198714
2016-09-01 00:40:00,-2230.545711321282
2016-09-01 00:41:00,-2755.341230457969
2016-09-01 00:42:00,-1611.152490655364
2016-09-01 00:43:00,-1373.3751578976485
2016-09-01 00:44:00,-1167.8639703495958
2016-09-01 00:45:00,-1565.5408988222011
2016-09-01 00:46:00,-753.7247080023552
2016-09-01 00:47:00,-940.6320694606801
2016-09-01 00:48:00,-918.2110924034126
2016-09-01 00:49:00,-1448.9340844204792
2016-09-01 00:50:00,-1168.9952094947243
2016-09-01 00:51:00,-719.6910642528435
2016-09-01 00:52:00,-811.063757237802
2016-09-01 00:53:00,-775.1959264822638
2016-09-01 00:54:00,-1224.0028433042535
2016-09-01 00:55:00,-1115.0182061427233
2016-09-01 00:56:00,-931.768116776582
2016-09-01 00:57:00,-644.2946589815797
2016-09-01 00:58:00,-1021.9540442236812
2016-09-01 00:59:00,-326.01378848646215
2016-09-01 01:00:00,-116.00672898920273
2016-09-01 01:01:00,-1194.8456309906614
2016-09-01 01:02:00,-347.8789760907736
2016-09-01 01:03:00,-344.61336847375657
2016-09-01 01:04:00,-456.85812171607625
2016-09-01 01:05:00,-1.9331480784442758
2016-09-01 01:06:00,-187.35778719859263
2016-09-01 01:07:00,0.0
2016-09-01 01:08:00,0.0
2016-09-01 01:09:00,-482.5840412497088
2016-09-01 01:10:00,-399.52140053110014
2016-09-01 01:11:00,-1018.3434953775943
2016-09-01 01:12:00,-667.9048963111848
2016-09-01 01:13:00,-1206.6956693375434
2016-09-01 01:14:00,-1106.5969154260097
2016-09-01 01:15:00,-1516.0426245966446
2016-09-01 01:16:00,-1591.7057974468428
2016-09-01 01:17:00,-1844.7001763091341
2016-09-01 01:18:00,-1686.381662052514
2016-09-01 01:19:00,-1560.641783027021
2016-09-01 01:20:00,-999.1882825994819
2016-09-01 01:21:00,-647.4735971663563
2016-09-01 01:22:00,-964.6252172778836
2016-09-01 01:23:00,-359.64934220412084
2016-09-01 01:24:00,-751.2799203956854
2016-09-01 01:25:00,-239.37294137285232
2016-09-01 01:26:00,0.0
2016-09-01 01:27:00,0.0
2016-09-01 01:28:00,0.0
2016-09-01 01:29:00,0.0
2016-09-01 01:30:00,0.0
2016-09-01 01:31:00,-109.84604122273872
2016-09-01 01:32:00,-138.94935093641828
2016-09-01 01:33:00,0.0
2016-09-01 01:34:00,0.0
2016-09-01 01:35:00,-408.91418765356906
2016-09-01 01:36:00,0.0
2016-09-01 01:37:00,0.0
2016-09-01 01:38:00,0.0
2016-09-01 01:39:00,0.0
2016-09-01 01:40:00,0.0
2016-09-01 01:41:00,0.0
2016-09-01 01:42:00,0.0
2016-09-01 01:43:00,0.0
2016-09-01 01:44:00,0.0
2016-09-01 01:45:00,0.0
2016-09-01 01:46:00,0.0
2016-09-01 01:47:00,0.0
2016-09-01 01:48:00,0.0
2016-09-01 01:49:00,0.0
2016-09-01 01:50:00,0.0
2016-09-01 01:51:00,0.0
2016-09-01 01:52:00,0.0
2016-09-01 01:53:00,0.0
2016-09-01 01:54:00,0.0
2016-09-01 01:55:00,0.0
2016-09-01 01:56:00,0.0
2016-09-01 01:57:00,0.0
2016-09-01 01:58:00,0.0
2016-09-01 01:59:00,0.0
2016-09-01 02:00:00,0.0
2016-09-01 02:01:00,0.0
2016-09-01 02:02:00,0.0
2016-09-01 02:03:00,0.0
2016-09-01 02:04:00,0.0
2016-09-01 02:05:00,0.0
2016-09-01 02:06:00,0.0
2016-09-01 02:07:00,0.0
2016-09-01 02:08:00,0.0
2016-09-01 02:09:00,0.0
2016-09-01 02:10:00,0.0
2016-09-01 02:11:00,0.0
2016-09-01 02:12:00,0.0
2016-09-01 02:13:00,0.0
2016-09-01 02:14:00,0.0
2016-09-01 02:15:00,0.0
2016-09-01 02:16:00,0.0
2016-09-01 02:17:00,0.0
2016-09-01 02:18:00,0.0
2016-09-01 02:19:00,0.0
2016-09-01 02:20:00,0.0
2016-09-01 02:21:00,0.0
2016-09-01 02:22:00,0.0
2016-09-01 02:23:00,0.0
2016-09-01 02:24:00,-311.7344001567677
2016-09-01 02:25:00,-450.00754989758985
2016-09-01 02:26:00,-718.1978376990829
2016-09-01 02:27:00,-1182.9537540229815
2016-09-01 02:28:00,-1128.0927270376594
2016-09-01 02:29:00,-815.3047870113874
2016-09-01 02:30:00,-890.0307341847658
2016-09-01 02:31:00,-724.21535106025
2016-09-01 02:32:00,-1281.4640077229692
2016-09-01 02:33:00,-1874.249008533841
2016-09-01 02:34:00,-1649.1292096533264
2016-09-01 02:35:00,-1399.7014022226074
2016-09-01 02:36:00,-1229.7399715912136
2016-09-01 02:37:00,-1500.3040319962554
2016-09-01 02:38:00,-2013.1786377125088
2016-09-01 02:39:00,-2539.603246743435
2016-09-01 02:40:00,-2085.6653476972297
2016-09-01 02:41:00,-1925.1192981462975
2016-09-01 02:42:00,-1848.5497209390646
2016-09-01 02:43:00,-2011.6232406216927
2016-09-01 02:44:00,-2136.8486426311883
2016-09-01 02:45:00,-1630.3068987844504
2016-09-01 02:46:00,-880.7936092655158
2016-09-01 02:47:00,-1570.477642961871
2016-09-01 02:48:00,-964.0331227312047
2016-09-01 02:49:00,-1247.9820985698689
2016-09-01 02:50:00,-1427.161479191111
2016-09-01 02:51:00,-682.8193006809846
2016-09-01 02:52:00,-1194.1410070639622
2016-09-01 02:53:00,-1236.7784707705976
2016-09-01 02:54:00,-1539.8431476312815
2016-09-01 02:55:00,-1356.1956042458075
2016-09-01 02:56:00,-1136.6930386907168
2016-09-01 02:57:00,-1081.763976644489
2016-09-01 02:58:00,-1835.0757315277608
2016-09-01 02:59:00,-1832.621383342198
2016-09-01 03:00:00,-1950.1171600091845
2016-09-01 03:01:00,-1962.3951071369947
2016-09-01 03:02:00,-1271.9135933647756
2016-09-01 03:03:00,-1592.4192168567968
2016-09-01 03:04:00,-2162.627799708375
2016-09-01 03:05:00,-2064.6020283570138
2016-09-01 03:06:00,-2476.653444980235
2016-09-01 03:07:00,-2579.221678004212
2016-09-01 03:08:00,-1829.6269973531723
2016-09-01 03:09:00,-1555.5673109876282
2016-09-01 03:10:00,-1338.243768305563
2016-09-01 03:11:00,-1522.2328349886625
2016-09-01 03:12:00,-817.2769834775252
2016-09-01 03:13:00,-696.40849779028
