t_begin,soc begin[%],power[W]
2016-09-01 00:00:00,0.0,1.8369701987210297e-13
2016-09-01 00:01:00,7.271340369937409e-17,1.8369701987210297e-13
2016-09-01 00:02:00,1.4542680739874819e-16,1.8369701987210297e-13
2016-09-01 00:03:00,2.1814021109812228e-16,1.8369701987210297e-13
2016-09-01 00:04:00,2.9085361479749637e-16,1.8369701987210297e-13
2016-09-01 00:05:00,3.6356701849687046e-16,1.8369701987210297e-13
2016-09-01 00:06:00,4.3628042219624456e-16,1.8369701987210297e-13
2016-09-01 00:07:00,5.0899382589561865e-16,1.8369701987210297e-13
2016-09-01 00:08:00,5.817072295949927e-16,1.8369701987210297e-13
2016-09-01 00:09:00,6.544206332943668e-16,1.8369701987210297e-13
2016-09-01 00:10:00,7.271340369937409e-16,1.8369701987210297e-13
2016-09-01 00:11:00,7.99847440693115e-16,1.8369701987210297e-13
2016-09-01 00:12:00,8.725608443924891e-16,1.8369701987210297e-13
2016-09-01 00:13:00,9.452742480918631e-16,1.8369701987210297e-13
2016-09-01 00:14:00,1.0179876517912371e-15,1.8369701987210297e-13
2016-09-01 00:15:00,1.090701055490611e-15,1.8369701987210297e-13
2016-09-01 00:16:00,1.163414459189985e-15,1.8369701987210297e-13
2016-09-01 00:17:00,1.236127862889359e-15,1.8369701987210297e-13
2016-09-01 00:18:00,1.308841266588733e-15,1.8369701987210297e-13
2016-09-01 00:19:00,1.381554670288107e-15,1.8369701987210297e-13
2016-09-01 00:20:00,1.454268073987481e-15,1.8369701987210297e-13
2016-09-01 00:21:00,1.526981477686855e-15,1.8369701987210297e-13
2016-09-01 00:22:00,1.599694881386229e-15,1.8369701987210297e-13
2016-09-01 00:23:00,1.672408285085603e-15,1.8369701987210297e-13
2016-09-01 00:24:00,1.745121688784977e-15,1.8369701987210297e-13
2016-09-01 00:25:00,1.817835092484351e-15,1.8369701987210297e-13
2016-09-01 00:26:00,1.890548496183725e-15,1.8369701987210297e-13
2016-09-01 00:27:00,1.963261899883099e-15,1.8369701987210297e-13
2016-09-01 00:28:00,2.035975303582473e-15,1.8369701987210297e-13
2016-09-01 00:29:00,2.108688707281847e-15,1.8369701987210297e-13
2016-09-01 00:30:00,2.181402110981221e-15,1.8369701987210297e-13
2016-09-01 00:31:00,2.254115514680595e-15,1.8369701987210297e-13
2016-09-01 00:32:00,2.326828918379969e-15,1.8369701987210297e-13
2016-09-01 00:33:00,2.399542322079343e-15,1.8369701987210297e-13
2016-09-01 00:34:00,2.472255725778717e-15,1.8369701987210297e-13
2016-09-01 00:35:00,2.544969129478091e-15,1.8369701987210297e-13
2016-09-01 00:36:00,2.617682533177465e-15,1.8369701987210297e-13
2016-09-01 00:37:00,2.690395936876839e-15,1.8369701987210297e-13
2016-09-01 00:38:00,2.763109340576213e-15,1.8369701987210297e-13
2016-09-01 00:39:00,2.835822744275587e-15,1.8369701987210297e-13
2016-09-01 00:40:00,2.908536147974961e-15,1.8369701987210297e-13
2016-09-01 00:41:00,2.981249551674335e-15,1.8369701987210297e-13
2016-09-01 00:42:00,3.053962955373709e-15,1.8369701987210297e-13
2016-09-01 00:43:00,3.126676359073083e-15,1.8369701987210297e-13
2016-09-01 00:44:00,3.199389762772457e-15,1.8369701987210297e-13
2016-09-01 00:45:00,3.272103166471831e-15,1.8369701987210297e-13
2016-09-01 00:46:00,3.344816570171205e-15,1.8369701987210297e-13
2016-09-01 00:47:00,3.417529973870579e-15,1.8369701987210297e-13
2016-09-01 00:48:00,3.490243377569953e-15,1.8369701987210297e-13
2016-09-01 00:49:00,3.562956781269327e-15,1.8369701987210297e-13
2016-09-01 00:50:00,3.635670184968701e-15,1.8369701987210297e-13
2016-09-01 00:51:00,3.708383588668075e-15,1.8369701987210297e-13
2016-09-01 00:52:00,3.781096992367449e-15,1.8369701987210297e-13
2016-09-01 00:53:00,3.853810396066823e-15,1.8369701987210297e-13
2016-09-01 00:54:00,3.926523799766197e-15,1.8369701987210297e-13
2016-09-01 00:55:00,3.999237203465571e-15,1.8369701987210297e-13
2016-09-01 00:56:00,4.071950607164945e-15,1.8369701987210297e-13
2016-09-01 00:57:00,4.144664010864319e-15,1.8369701987210297e-13
2016-09-01 00:58:00,4.217377414563693e-15,1.8369701987210297e-13
2016-09-01 00:59:00,4.290090818263067e-15,1.8369701987210297e-13
2016-09-01 01:00:00,4.362804221962441e-15,94.2322772343852
2016-09-01 01:01:00,0.03730027640528184,43.64203681665902
2016-09-01 01:02:00,0.05457524931187603,-5.143593549143958
2016-09-01 01:03:00,0.052319287228918154,-4.930974431716701
2016-09-01 01:04:00,0.05015657914483188,-4.727144260963022
2016-09-01 01:05:00,0.04808327025844459,-4.531739734673797
2016-09-01 01:06:00,0.04609566511165784,-4.344412567865716
2016-09-01 01:07:00,0.044190221002944806,-4.164828872079859
2016-09-01 01:08:00,0.04236354167308522,-3.992668560324617
2016-09-01 01:09:00,0.04061237125189021,-3.827624776621974
2016-09-01 01:10:00,0.038933588455126185,-3.6694033491147207
2016-09-01 01:11:00,0.03732420102130394,-3.517722265784699
2016-09-01 01:12:00,0.03578134037841591,-3.372311171838078
2016-09-01 01:13:00,0.03430225653111851,-3.232910887860217
2016-09-01 01:14:00,0.032884313159249993,-3.099272947885926
2016-09-01 01:15:00,0.031524982918949146,-2.971159156563509
2016-09-01 01:16:00,0.03022184293800024,-2.8483411646195678
2016-09-01 01:17:00,0.02897257049737762,-2.730600061870827
2016-09-01 01:18:00,0.027774938891293927,-2.6177259870591465
