time series,min,max,mean,median,std,var,sum
Sept Pred HAL,0.000000,0.174029,0.008490,0.001201,0.016334,0.000267,366.769195
Sept Pred OEMOF,0.000000,0.173485,0.007465,0.000637,0.015829,0.000251,322.481211
Sept Real HAL,0.000000,0.174030,0.008311,0.001192,0.016167,0.000261,359.014204
Sept Real OEMOF,0.000000,0.173485,0.007522,0.000917,0.015577,0.000243,324.963516
Dec Pred HAL,0.000000,0.176829,0.013765,0.005578,0.019039,0.000362,614.461783
Dec Pred OEMOF,0.000000,0.176249,0.012295,0.003476,0.018952,0.000359,548.858269
Dec Real HAL,0.000000,0.176617,0.013792,0.005596,0.019032,0.000362,615.693368
Dec Real OEMOF,0.000000,0.176037,0.012326,0.003517,0.018945,0.000359,550.241850
