t_begin,soc begin[%],power[W]
2016-09-01 00:00:00,0.0,141.31935212892805
2016-09-01 00:01:00,0.006729492958520383,140.70481954844433
2016-09-01 00:02:00,0.013429722460827256,140.09295340756807
2016-09-01 00:03:00,0.02010081548023526,139.4837422131058
2016-09-01 00:04:00,0.026742898442764104,138.8771745204137
2016-09-01 00:05:00,0.033356097229450474,138.27323893319672
2016-09-01 00:06:00,0.039940537178650315,137.67192410332282
2016-09-01 00:07:00,0.04649634308833235,137.0732187306297
2016-09-01 00:08:00,0.05302363921836234,136.47711156273488
2016-09-01 00:09:00,0.05952254929277828,135.88359139484768
2016-09-01 00:10:00,0.06599319650205675,135.29264706957795
2016-09-01 00:11:00,0.07243570350536999,134.70426747674688
2016-09-01 00:12:00,0.07885019243283412,134.11844155320335
2016-09-01 00:13:00,0.08523678488774857,133.5351582826322
2016-09-01 00:14:00,0.0915956019488263,132.95440669536828
2016-09-01 00:15:00,0.09792676417241526,132.37617586821278
2016-09-01 00:16:00,0.1042303915947111,131.80045492424748
2016-09-01 00:17:00,0.11050660373396098,131.2272330326435
2016-09-01 00:18:00,0.1167555195926583,130.65649940848635
2016-09-01 00:19:00,0.12297725765972908,130.08824331258614
2016-09-01 00:20:00,0.12917193591270937,129.52245405129437
2016-09-01 00:21:00,0.13533967181991385,128.95912097632504
2016-09-01 00:22:00,0.141480582342596,128.39823348456824
2016-09-01 00:23:00,0.14759478393709924,127.83978101791438
2016-09-01 00:24:00,0.15368239255699992,127.28375306306587
2016-09-01 00:25:00,0.15974352365524114,126.73013915136235
2016-09-01 00:26:00,0.1657782921862584,126.17892885860142
2016-09-01 00:27:00,0.17178681260809656,125.63011180485529
2016-09-01 00:28:00,0.17776919888451823,125.08367765429661
2016-09-01 00:29:00,0.18372556448710378,124.53961611501737
2016-09-01 00:30:00,0.1896560223973427,123.99791693885507
2016-09-01 00:31:00,0.19556068510871674,123.45856992121185
2016-09-01 00:32:00,0.20143966462877444,122.92156490088293
2016-09-01 00:33:00,0.20729307248119744,122.38689175987685
2016-09-01 00:34:00,0.21312101970785824,169.12311443814
2016-09-01 00:35:00,0.22117450134776967,168.39560639499462
2016-09-01 00:36:00,0.2291933397475313,167.67121796466972
2016-09-01 00:37:00,0.23717768346013463,166.94993589698558
2016-09-01 00:38:00,0.24512768040761013,166.23174699639853
2016-09-01 00:39:00,0.25304347788362913,165.51663812180524
2016-09-01 00:40:00,0.26092522255609607,164.80459618633847
2016-09-01 00:41:00,0.26877306046973126,164.09560815716108
2016-09-01 00:42:00,0.2765871370486437,163.38966105526433
2016-09-01 00:43:00,0.28436759709889436,162.68674195526924
2016-09-01 00:44:00,0.29211458481105,161.9868379852167
2016-09-01 00:45:00,0.299828243762727,161.28993632637884
2016-09-01 00:46:00,0.30750871692112597,160.5960242130429
2016-09-01 00:47:00,0.3151561466455566,159.90508893232533
2016-09-01 00:48:00,0.322770674689953,159.21711782396287
2016-09-01 00:49:00,0.33035244220537985,158.53209828011788
2016-09-01 00:50:00,0.3379015897425283,157.85001774517758
2016-09-01 00:51:00,0.34541825725420344,157.17086371555644
2016-09-01 00:52:00,0.35290258409780134,156.49462373949822
2016-09-01 00:53:00,0.36035470903777744,155.82128541688022
2016-09-01 00:54:00,0.36777477024810507,155.15083639901545
2016-09-01 00:55:00,0.37516290531472485,154.4832643884561
2016-09-01 00:56:00,0.38251925123798464,153.81855713879906
2016-09-01 00:57:00,0.3898439444350703,153.1567024544896
2016-09-01 00:58:00,0.39713712074242696,152.49768819062928
2016-09-01 00:59:00,0.4043989154181712,151.84150225277844
2016-09-01 01:00:00,0.411629463144494,151.18813259676503
2016-09-01 01:01:00,0.41882889803005424,150.53756722849087
2016-09-01 01:02:00,0.42599735361236335,149.8897942037406
2016-09-01 01:03:00,0.4331349628601605,149.24480162798744
2016-09-01 01:04:00,0.440241858175779,148.60257765620355
2016-09-01 01:05:00,0.44731817139750296,147.9631104926684
2016-09-01 01:06:00,0.45436403380191576,147.32638839077856
2016-09-01 01:07:00,0.46137957610623853,146.69239965285774
2016-09-01 01:08:00,0.4683649284706603,240.98959026839245
2016-09-01 01:09:00,0.47984062324534565,847.0440791478221
2016-09-01 01:10:00,0.5201760555857181,706.1130431565967
2016-09-01 01:11:00,0.5538004862122228,375.6295651777182
2016-09-01 01:12:00,0.5716876083635427,562.3875878638372
2016-09-01 01:13:00,0.5984679696903921,1108.8543869230202
2016-09-01 01:14:00,0.6512705595438693,742.3669600657181
2016-09-01 01:15:00,0.6866213671660463,1731.7968209314613
2016-09-01 01:16:00,0.7690878824484968,1316.569744086834
2016-09-01 01:17:00,0.8317816797859651,3000.0
2016-09-01 01:18:00,0.974638822643108,3000.0
2016-09-01 01:19:00,1.1174959655002508,2612.5179978800693
2016-09-01 01:20:00,1.2419015844469208,2427.918123945991
2016-09-01 01:21:00,1.3575167332062537,2845.15854883677
2016-09-01 01:22:00,1.4930004736270521,1734.18960280686
2016-09-01 01:23:00,1.5755809309035693,3000.0
2016-09-01 01:24:00,1.7184380737607121,3000.0
2016-09-01 01:25:00,1.861295216617855,3000.0
2016-09-01 01:26:00,2.0041523594749977,3000.0
2016-09-01 01:27:00,2.1470095023321405,3000.0
2016-09-01 01:28:00,2.2898666451892833,2043.6626126005726
2016-09-01 01:29:00,2.3871839124559773,1569.0982336700215
2016-09-01 01:30:00,2.4619028759640735,1730.570587850306
2016-09-01 01:31:00,2.5443109991950403,2615.7022149846216
2016-09-01 01:32:00,2.6688682475276413,2613.9182546093507
2016-09-01 01:33:00,2.7933405453661817,1875.1097649882524
2016-09-01 01:34:00,2.8826314865560985,2610.847685720982
2016-09-01 01:35:00,3.006957566828526,2633.353246403733
2016-09-01 01:36:00,3.132355340466799,503.6037719525362
2016-09-01 01:37:00,3.156336472464539,501.73207100245537
2016-09-01 01:38:00,3.1802284758456083,647.438912784126
2016-09-01 01:39:00,3.2110589002639,497.4602945403498
2016-09-01 01:40:00,3.234747485718202,495.6107790724896
2016-09-01 01:41:00,3.2583479990073685,1736.0050104673458
2016-09-01 01:42:00,3.3410149042677184,830.4021216807793
2016-09-01 01:43:00,3.3805578624429935,533.8021204810722
2016-09-01 01:44:00,3.40597701103733,531.8453043006427
2016-09-01 01:45:00,3.4313029779087896,677.8589695054321
2016-09-01 01:46:00,3.463581976456667,1013.6936437495189
2016-09-01 01:47:00,3.511853102349501,523.6922504029579
2016-09-01 01:48:00,3.536790828559166,670.1086940051057
2016-09-01 01:49:00,3.568700766368933,814.5118744685029
2016-09-01 01:50:00,3.607487046105528,516.3244667701232
2016-09-01 01:51:00,3.632073925475534,514.4297357346527
2016-09-01 01:52:00,3.6565705795581365,512.5417474231313
2016-09-01 01:53:00,3.6809773294354287,560.4402769519087
2016-09-01 01:54:00,3.707664961671234,558.4139491500298
2016-09-01 01:55:00,3.73425610210695,556.3946852281656
2016-09-01 01:56:00,3.7607510871178147,554.3824634328329
2016-09-01 01:57:00,3.7871502520431877,552.3772620454405
