t_begin,power_schedule[W]
2016-09-01 00:00:00,0.0
2016-09-01 00:01:00,0.0
2016-09-01 00:02:00,-561.5822673943403
2016-09-01 00:03:00,-130.74644629638772
2016-09-01 00:04:00,0.0
2016-09-01 00:05:00,0.0
2016-09-01 00:06:00,0.0
2016-09-01 00:07:00,0.0
2016-09-01 00:08:00,0.0
2016-09-01 00:09:00,0.0
2016-09-01 00:10:00,0.0
2016-09-01 00:11:00,0.0
2016-09-01 00:12:00,0.0
2016-09-01 00:13:00,0.0
2016-09-01 00:14:00,0.0
2016-09-01 00:15:00,0.0
2016-09-01 00:16:00,0.0
2016-09-01 00:17:00,0.0
2016-09-01 00:18:00,0.0
2016-09-01 00:19:00,0.0
2016-09-01 00:20:00,0.0
2016-09-01 00:21:00,0.0
2016-09-01 00:22:00,0.0
2016-09-01 00:23:00,0.0
2016-09-01 00:24:00,0.0
2016-09-01 00:25:00,0.0
2016-09-01 00:26:00,0.0
2016-09-01 00:27:00,0.0
2016-09-01 00:28:00,0.0
2016-09-01 00:29:00,0.0
2016-09-01 00:30:00,0.0
2016-09-01 00:31:00,0.0
2016-09-01 00:32:00,0.0
2016-09-01 00:33:00,0.0
2016-09-01 00:34:00,0.0
2016-09-01 00:35:00,0.0
2016-09-01 00:36:00,0.0
2016-09-01 00:37:00,0.0
2016-09-01 00:38:00,0.0
2016-09-01 00:39:00,0.0
2016-09-01 00:40:00,0.0
2016-09-01 00:41:00,0.0
2016-09-01 00:42:00,0.0
2016-09-01 00:43:00,0.0
2016-09-01 00:44:00,0.0
2016-09-01 00:45:00,0.0
2016-09-01 00:46:00,0.0
2016-09-01 00:47:00,0.0
2016-09-01 00:48:00,0.0
2016-09-01 00:49:00,0.0
2016-09-01 00:50:00,0.0
2016-09-01 00:51:00,0.0
2016-09-01 00:52:00,0.0
2016-09-01 00:53:00,0.0
2016-09-01 00:54:00,0.0
2016-09-01 00:55:00,0.0
2016-09-01 00:56:00,0.0
2016-09-01 00:57:00,0.0
2016-09-01 00:58:00,0.0
2016-09-01 00:59:00,0.0
2016-09-01 01:00:00,0.0
2016-09-01 01:01:00,0.0
2016-09-01 01:02:00,0.0
2016-09-01 01:03:00,0.0
2016-09-01 01:04:00,0.0
2016-09-01 01:05:00,0.0
2016-09-01 01:06:00,0.0
2016-09-01 01:07:00,0.0
2016-09-01 01:08:00,0.0
2016-09-01 01:09:00,-18.24488032358329
2016-09-01 01:10:00,0.0
2016-09-01 01:11:00,-118.30292395340656
2016-09-01 01:12:00,-604.4914760747882
2016-09-01 01:13:00,0.0
2016-09-01 01:14:00,0.0
2016-09-01 01:15:00,-999.9182408629648
2016-09-01 01:16:00,-1160.5759737896954
2016-09-01 01:17:00,-550.8371751587747
2016-09-01 01:18:00,-1216.5833721611355
2016-09-01 01:19:00,-234.28829243837046
2016-09-01 01:20:00,-246.9046652394917
2016-09-01 01:21:00,-342.9473908949332
2016-09-01 01:22:00,-727.7466488952762
2016-09-01 01:23:00,-328.0931908191658
2016-09-01 01:24:00,-438.40311329101615
2016-09-01 01:25:00,-260.1707317783255
2016-09-01 01:26:00,-407.4196577711161
2016-09-01 01:27:00,-173.58041812748016
2016-09-01 01:28:00,-503.4097550639135
2016-09-01 01:29:00,-104.96451228317
2016-09-01 01:30:00,-558.0834795325937
2016-09-01 01:31:00,0.0
2016-09-01 01:32:00,0.0
2016-09-01 01:33:00,0.0
2016-09-01 01:34:00,0.0
2016-09-01 01:35:00,0.0
2016-09-01 01:36:00,0.0
2016-09-01 01:37:00,0.0
2016-09-01 01:38:00,0.0
2016-09-01 01:39:00,0.0
2016-09-01 01:40:00,0.0
2016-09-01 01:41:00,0.0
2016-09-01 01:42:00,0.0
2016-09-01 01:43:00,0.0
2016-09-01 01:44:00,0.0
2016-09-01 01:45:00,0.0
2016-09-01 01:46:00,0.0
2016-09-01 01:47:00,0.0
2016-09-01 01:48:00,0.0
2016-09-01 01:49:00,0.0
2016-09-01 01:50:00,0.0
2016-09-01 01:51:00,0.0
2016-09-01 01:52:00,0.0
2016-09-01 01:53:00,0.0
2016-09-01 01:54:00,0.0
2016-09-01 01:55:00,0.0
2016-09-01 01:56:00,0.0
2016-09-01 01:57:00,0.0
2016-09-01 01:58:00,0.0
2016-09-01 01:59:00,0.0
2016-09-01 02:00:00,0.0
2016-09-01 02:01:00,0.0
2016-09-01 02:02:00,0.0
2016-09-01 02:03:00,-11.230844930268404
2016-09-01 02:04:00,0.0
2016-09-01 02:05:00,-381.6295667006551
2016-09-01 02:06:00,0.0
2016-09-01 02:07:00,-668.0946970229409
2016-09-01 02:08:00,-877.6025197116393
2016-09-01 02:09:00,-708.8145471342917
2016-09-01 02:10:00,-637.216587254939
2016-09-01 02:11:00,-249.98472641000808
2016-09-01 02:12:00,-585.6826447692648
2016-09-01 02:13:00,-745.8211217163713
2016-09-01 02:14:00,-119.13958142987578
2016-09-01 02:15:00,-213.36094590490632
2016-09-01 02:16:00,-39.43613366463674
2016-09-01 02:17:00,0.0
2016-09-01 02:18:00,0.0
2016-09-01 02:19:00,0.0
2016-09-01 02:20:00,0.0
2016-09-01 02:21:00,0.0
2016-09-01 02:22:00,0.0
2016-09-01 02:23:00,0.0
2016-09-01 02:24:00,0.0
2016-09-01 02:25:00,0.0
2016-09-01 02:26:00,-86.49436515868469
2016-09-01 02:27:00,0.0
2016-09-01 02:28:00,0.0
2016-09-01 02:29:00,0.0
2016-09-01 02:30:00,0.0
2016-09-01 02:31:00,0.0
2016-09-01 02:32:00,0.0
2016-09-01 02:33:00,-294.5351538825112
2016-09-01 02:34:00,-1153.137549874536
2016-09-01 02:35:00,-1276.9893579587085
2016-09-01 02:36:00,-1467.717415067384
2016-09-01 02:37:00,-420.65655561470896
2016-09-01 02:38:00,-950.3380958416626
2016-09-01 02:39:00,-678.7480408282082
2016-09-01 02:40:00,-46.69074879759978
2016-09-01 02:41:00,0.0
2016-09-01 02:42:00,-331.8333955503144
2016-09-01 02:43:00,-1213.701820334036
2016-09-01 02:44:00,-686.7915881227058
2016-09-01 02:45:00,-329.9373265770445
2016-09-01 02:46:00,-84.32729175803512
2016-09-01 02:47:00,-335.5113665710005
2016-09-01 02:48:00,-872.9815832569478
2016-09-01 02:49:00,-488.1963030823242
2016-09-01 02:50:00,-1088.0290858841572
2016-09-01 02:51:00,-358.66074671310014
2016-09-01 02:52:00,0.0
2016-09-01 02:53:00,0.0
2016-09-01 02:54:00,0.0
2016-09-01 02:55:00,0.0
2016-09-01 02:56:00,0.0
2016-09-01 02:57:00,0.0
2016-09-01 02:58:00,0.0
2016-09-01 02:59:00,0.0
2016-09-01 03:00:00,0.0
2016-09-01 03:01:00,0.0
2016-09-01 03:02:00,0.0
2016-09-01 03:03:00,0.0
2016-09-01 03:04:00,0.0
2016-09-01 03:05:00,0.0
2016-09-01 03:06:00,0.0
2016-09-01 03:07:00,0.0
2016-09-01 03:08:00,0.0
2016-09-01 03:09:00,0.0
2016-09-01 03:10:00,0.0
2016-09-01 03:11:00,0.0
2016-09-01 03:12:00,0.0
2016-09-01 03:13:00,0.0
2016-09-01 03:14:00,0.0
2016-09-01 03:15:00,0.0
2016-09-01 03:16:00,0.0
2016-09-01 03:17:00,0.0
2016-09-01 03:18:00,0.0
2016-09-01 03:19:00,0.0
2016-09-01 03:20:00,0.0
2016-09-01 03:21:00,0.0
2016-09-01 03:22:00,0.0
2016-09-01 03:23:00,0.0
2016-09-01 03:24:00,0.0
2016-09-01 03:25:00,0.0
2016-09-01 03:26:00,0.0
2016-09-01 03:27:00,0.0
2016-09-01 03:28:00,0.0
2016-09-01 03:29:00,0.0
2016-09-01 03:30:00,0.0
2016-09-01 03:31:00,0.0
2016-09-01 03:32:00,0.0
2016-09-01 03:33:00,0.0
2016-09-01 03:34:00,0.0
2016-09-01 03:35:00,-800.2592605958982
2016-09-01 03:36:00,-1004.2633178852167
